organization, student
Office of the Dean of Student Affairs, szingle
OM - An Organization for Indian Spirituality &amp; Culture, pddoshi
Omega Phi Beta, dsalazar
Order of Omega, syamalis
Origami Club, cperry
Outreach360 at CMU, lesliec1
Panhellenic Council, ankitaj
Partners Allied in Civic Engagement, havery
Partners in Speculative Fiction, sdieckma
Perfect Harmony, egallagh
Phi Delta Theta, shuol1
Photography Club at CMU, tteichma
Pi Kappa Alpha, wclark
Pittsburgh Go Association, arudich
Plaid Dog Divers, jmmoses
Polish &amp; Central European Society at CMU, akapusci
Project Ignite, jacobneu
Project Rwanda, ankitaj
Project Smile, ccano
Project Sunshine, feilu
PSALM (Pittsburgh Students Active in Lutheran Ministry), mschmehl
PULSE, kschneid
Puzzlehunt CMU, edgarc
Quant, quchenz
Quiz Bowl, saapte
Redeemed Campus Fellowship, ooladipo
Rho Lambda, rbwolfso
Robotics Club, azz
Roller Hockey Club, ninae
Romanian Students Association, ostretcu
Roosevelt Institute at CMU, rkalva
Rugby Football Club, smurati
Saans A Cappella, sumedham
SAFE, nyshin
Saudi Students House, aarfaj
Sciences Teaching Club, dmwilson
Scotch'n'Soda Theatre, ahalbers
Scottie Ventures, agoradia
ScottyLabs, serenaw1
Shaolin Kung Fu Club, sccao
Shotokan Karate Club, cphang
Sigma Alpha Epsilon, atf
Sigma Chi, abheemid
Sigma Nu, abenno
Singapore Students' Association, yaochonl
Ski &amp; Snowboard Club, barunk
Ski and Snowboard Team, cgv
SLICE, dsienko
Smart Woman Securities, ilitwin
Society for Biomaterials, jbliley
Society for Industrial and Applied Mathematics Student Chapter, ahagerty
Society of Asian Scientists and Engineers, smohidee
Society of Hispanic Professional Engineers, shernand
Society of Physics Students, ebbarret
Society of Women Engineers, nkapate
Soundbytes, old
Spanish And Latin Student Association, hcmartin
Spark the Movement, nanz1
SPICMACAY, sreekanr
SPIRIT, cmondoa
Spring Carnival Committee, hkoschme
Strong Women Strong Girls, yclui
Student Body President, rapoport
Student Body Vice President for Finance, gcach
Student Body Vice President for Organizations, hnourie
Student College, akohlbre
Student Dormitory Council (SDC), kanishav
Student Pugwash, ruihaoy
Students for Urban Data Systems, shouvikm
Study Abroad, lgentile
SUMMIT, vcl
Sustainable Earth, asmui
Sweepstakes, qinx
Taiwanese Scholar Society, tzuchaoc
Taiwanese Students Association, amiew
TAMID Beta @ CMU, alandau
Tartan Athlete Fellowship, gparker
Tartan Salsa, scarrasq
Tartan Swing, rkimura
Tartan Wind Ensemble, rjesurum
Tartans 4 Israel, jsafer
Tau Beta Pi, emcarval
Tech4Society, pdonti
TEDxCMU, ywm
Teknowledge, arnanava
Tepper Finance Group, abello
Thai Students Association, sleelama
The Atlas Project, ovg
The Chinese-English Third Space, fdolce
The Cut Magazine, dfdwyer
The HUB, lucasc
The Oakland Review, imccarth
The Office of Residential Education, savery
The Originals, lgalvan
The Pittsburgh Connections Program at CMU, asgreen
The Tartan, calebm
The Thistle, dacacio
Theme Park Engineering Group, bshortri
Thomas M. Kerr Jr. Pre-Law Society, irenes
Toyz Nation Gaming League, mbossard
Treblemakers, jnapolit
Turkish Student Society, ykesim
UNA-CMU, gvennitt
Undergraduate Business Technology Club, ehirao
Undergraduate Consulting Club, sophiach
Undergraduate Entrepreneurship Association, stellah
Undergraduate Marketing Organization, nhfan
Undergraduate Student Senate, maitreyj
University Health Services, paulam
University Lecture Series, lpremo
University Rowing Club, vmitta
Vermillion Anime Club, ruihaoy
Women in MechE, btwang
Women in Science, jhsueh
Women's Club Soccer, sdstein
Women's Club Volleyball, hlawrenc
Women's Lacrosse, hkillen
Women's Ultimate Frisbee Club, amapua
Women's Water Polo, mjwu
WRCT 88.3FM, pco
Yang Jia Taijiquan, rjannakh
Yarnivores, ackao
Young African Leaders Association, ydione
Young Americans for Liberty, nhouglan
